Tech,Wind class,Year,CFc,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
ONSHORE,1,2010,0.3,1495.4474,51.331,0
ONSHORE,1,2011,0.3,1495.4474,51.331,0
ONSHORE,1,2012,0.3,1495.4474,51.331,0
ONSHORE,1,2013,0.3,1495.4474,51.331,0
ONSHORE,1,2014,0.476608554,1495.4474,51.331,0
ONSHORE,1,2015,0.476608554,1495.4474,51.331,0
ONSHORE,1,2016,0.476608554,1495.4474,51.331,0
ONSHORE,1,2017,0.47963758,1475.2776,50.9617,0
ONSHORE,1,2018,0.48260879,1455.7906,50.5924,0
ONSHORE,1,2019,0.485522184,1436.9864,50.2231,0
ONSHORE,1,2020,0.488377762,1418.865,49.8538,0
ONSHORE,1,2021,0.491175523,1401.4264,49.4845,0
ONSHORE,1,2022,0.493915468,1384.6706,49.1153,0
ONSHORE,1,2023,0.496597596,1368.5976,48.746,0
ONSHORE,1,2024,0.499221908,1353.2074,48.3767,0
ONSHORE,1,2025,0.501788404,1338.5,48.0074,0
ONSHORE,1,2026,0.504297084,1324.4754,47.6381,0
ONSHORE,1,2027,0.506747947,1311.1336,47.2688,0
ONSHORE,1,2028,0.509140995,1298.4746,46.8995,0
ONSHORE,1,2029,0.511476225,1286.4984,46.5302,0
ONSHORE,1,2030,0.51375364,1275.205,46.161,0
ONSHORE,1,2031,0.515973238,1264.5944,45.7917,0
ONSHORE,1,2032,0.51813502,1254.6666,45.4224,0
ONSHORE,1,2033,0.520238985,1245.4216,45.0531,0
ONSHORE,1,2034,0.522285135,1236.8594,44.6838,0
ONSHORE,1,2035,0.524273468,1228.98,44.3145,0
ONSHORE,1,2036,0.526203984,1221.7834,43.9452,0
ONSHORE,1,2037,0.528076685,1215.2696,43.5759,0
ONSHORE,1,2038,0.529891569,1209.4386,43.2067,0
ONSHORE,1,2039,0.531648636,1204.2904,42.8374,0
ONSHORE,1,2040,0.533347888,1199.825,42.4681,0
ONSHORE,1,2041,0.534989323,1196.0424,42.0988,0
ONSHORE,1,2042,0.536572942,1192.9426,41.7295,0
ONSHORE,1,2043,0.538098744,1190.5256,41.3602,0
ONSHORE,1,2044,0.539566731,1188.7914,40.9909,0
ONSHORE,1,2045,0.540976901,1187.74,40.6216,0
ONSHORE,1,2046,0.542329254,1187.3714,40.2524,0
ONSHORE,1,2047,0.543623792,1187.6856,39.8831,0
ONSHORE,1,2048,0.544860513,1188.6826,39.5138,0
ONSHORE,1,2049,0.546039418,1190.3624,39.1445,0
ONSHORE,1,2050,0.547160506,1192.725,38.7752,0
ONSHORE,2,2010,0.3,1515.0383,51.331,0
ONSHORE,2,2011,0.3,1515.0383,51.331,0
ONSHORE,2,2012,0.3,1515.0383,51.331,0
ONSHORE,2,2013,0.3,1515.0383,51.331,0
ONSHORE,2,2014,0.465106664,1515.0383,51.331,0
ONSHORE,2,2015,0.465106664,1515.0383,51.331,0
ONSHORE,2,2016,0.465106664,1515.0383,51.331,0
ONSHORE,2,2017,0.468190243,1495.1512,50.9617,0
ONSHORE,2,2018,0.471214965,1475.9387,50.5924,0
ONSHORE,2,2019,0.474180829,1457.4008,50.2231,0
ONSHORE,2,2020,0.477087836,1439.5375,49.8538,0
ONSHORE,2,2021,0.479935985,1422.3488,49.4845,0
ONSHORE,2,2022,0.482725277,1405.8347,49.1153,0
ONSHORE,2,2023,0.485455711,1389.9952,48.746,0
ONSHORE,2,2024,0.488127287,1374.8303,48.3767,0
ONSHORE,2,2025,0.490740006,1360.34,48.0074,0
ONSHORE,2,2026,0.493293868,1346.5243,47.6381,0
ONSHORE,2,2027,0.495788871,1333.3832,47.2688,0
ONSHORE,2,2028,0.498225017,1320.9167,46.8995,0
ONSHORE,2,2029,0.500602306,1309.1248,46.5302,0
ONSHORE,2,2030,0.502920737,1298.0075,46.161,0
ONSHORE,2,2031,0.50518031,1287.5648,45.7917,0
ONSHORE,2,2032,0.507381026,1277.7967,45.4224,0
ONSHORE,2,2033,0.509522884,1268.7032,45.0531,0
ONSHORE,2,2034,0.511605885,1260.2843,44.6838,0
ONSHORE,2,2035,0.513630028,1252.54,44.3145,0
ONSHORE,2,2036,0.515595314,1245.4703,43.9452,0
ONSHORE,2,2037,0.517501742,1239.0752,43.5759,0
ONSHORE,2,2038,0.519349312,1233.3547,43.2067,0
ONSHORE,2,2039,0.521138025,1228.3088,42.8374,0
ONSHORE,2,2040,0.52286788,1223.9375,42.4681,0
ONSHORE,2,2041,0.524538878,1220.2408,42.0988,0
ONSHORE,2,2042,0.526151018,1217.2187,41.7295,0
ONSHORE,2,2043,0.5277043,1214.8712,41.3602,0
ONSHORE,2,2044,0.529198725,1213.1983,40.9909,0
ONSHORE,2,2045,0.530634292,1212.2,40.6216,0
ONSHORE,2,2046,0.532011002,1211.8763,40.2524,0
ONSHORE,2,2047,0.533328854,1212.2272,39.8831,0
ONSHORE,2,2048,0.534587849,1213.2527,39.5138,0
ONSHORE,2,2049,0.535787986,1214.9528,39.1445,0
ONSHORE,2,2050,0.536929265,1217.3275,38.7752,0
ONSHORE,3,2010,0.3,1525.2551,51.331,0
ONSHORE,3,2011,0.3,1525.2551,51.331,0
ONSHORE,3,2012,0.3,1525.2551,51.331,0
ONSHORE,3,2013,0.3,1525.2551,51.331,0
ONSHORE,3,2014,0.453274361,1525.2551,51.331,0
ONSHORE,3,2015,0.453274361,1525.2551,51.331,0
ONSHORE,3,2016,0.453274361,1525.2551,51.331,0
ONSHORE,3,2017,0.456787725,1507.3304,50.9617,0
ONSHORE,3,2018,0.460234028,1490.0259,50.5924,0
ONSHORE,3,2019,0.46361327,1473.3416,50.2231,0
ONSHORE,3,2020,0.466925451,1457.2775,49.8538,0
ONSHORE,3,2021,0.470170571,1441.8336,49.4845,0
ONSHORE,3,2022,0.473348629,1427.0099,49.1153,0
ONSHORE,3,2023,0.476459627,1412.8064,48.746,0
ONSHORE,3,2024,0.479503564,1399.2231,48.3767,0
ONSHORE,3,2025,0.482480439,1386.26,48.0074,0
ONSHORE,3,2026,0.485390254,1373.9171,47.6381,0
ONSHORE,3,2027,0.488233008,1362.1944,47.2688,0
ONSHORE,3,2028,0.4910087,1351.0919,46.8995,0
ONSHORE,3,2029,0.493717331,1340.6096,46.5302,0
ONSHORE,3,2030,0.496358902,1330.7475,46.161,0
ONSHORE,3,2031,0.498933411,1321.5056,45.7917,0
ONSHORE,3,2032,0.501440859,1312.8839,45.4224,0
ONSHORE,3,2033,0.503881246,1304.8824,45.0531,0
ONSHORE,3,2034,0.506254572,1297.5011,44.6838,0
ONSHORE,3,2035,0.508560837,1290.74,44.3145,0
ONSHORE,3,2036,0.510800041,1284.5991,43.9452,0
ONSHORE,3,2037,0.512972184,1279.0784,43.5759,0
ONSHORE,3,2038,0.515077266,1274.1779,43.2067,0
ONSHORE,3,2039,0.517115287,1269.8976,42.8374,0
ONSHORE,3,2040,0.519086247,1266.2375,42.4681,0
ONSHORE,3,2041,0.520990145,1263.1976,42.0988,0
ONSHORE,3,2042,0.522826983,1260.7779,41.7295,0
ONSHORE,3,2043,0.52459676,1258.9784,41.3602,0
ONSHORE,3,2044,0.526299475,1257.7991,40.9909,0
ONSHORE,3,2045,0.52793513,1257.24,40.6216,0
ONSHORE,3,2046,0.529503723,1257.3011,40.2524,0
ONSHORE,3,2047,0.531005255,1257.9824,39.8831,0
ONSHORE,3,2048,0.532439727,1259.2839,39.5138,0
