*r,rr
p1,p2
p1,p3
p1,p4
p2,p14
p2,p3
p2,p4
p2,p5
p3,p14
p3,p4
p5,p14
p5,p15
p5,p6
p5,p7
p6,p7
p6,p8
p6,p9
p7,p12
p7,p15
p7,p8
p8,p12
p8,p9
p9,p10
p9,p12
p10,p11
p10,p12
p10,p13
p10,p27
p10,p28
p12,p13
p12,p15
p12,p16
p12,p25
p12,p27
p13,p27
p14,p15
p14,p17
p15,p16
p15,p17
p16,p17
p16,p18
p16,p21
p16,p25
p16,p26
p17,p18
p18,p19
p18,p20
p18,p21
p18,p22
p19,p20
p19,p35
p20,p22
p20,p23
p20,p35
p21,p22
p21,p24
p21,p26
p21,p33
p22,p23
p22,p24
p23,p24
p23,p32
p23,p35
p24,p32
p24,p33
p24,p39
p25,p26
p25,p27
p25,p28
p25,p29
p25,p31
p25,p33
p25,p34
p26,p33
p27,p28
p28,p29
p28,p30
p28,p31
p29,p31
p29,p34
p31,p34
p31,p47
p31,p48
p31,p49
p31,p59
p31,p61
p32,p35
p32,p38
p32,p39
p33,p34
p33,p39
p33,p52
p34,p49
p34,p52
p35,p36
p35,p38
p36,p37
p36,p38
p37,p38
p37,p42
p37,p43
p38,p39
p38,p40
p38,p43
p38,p44
p38,p45
p39,p40
p39,p52
p40,p41
p40,p45
p40,p52
p40,p53
p41,p45
p41,p53
p41,p54
p42,p43
p43,p44
p43,p46
p43,p68
p44,p45
p44,p68
p45,p54
p45,p68
p45,p69
p45,p70
p46,p68
p46,p74
p46,p75
p46,p76
p46,p77
p47,p48
p47,p61
p47,p62
p48,p49
p48,p50
p48,p60
p48,p62
p49,p50
p49,p52
p49,p53
p50,p51
p50,p53
p50,p56
p50,p57
p50,p60
p50,p63
p50,p85
p51,p53
p51,p55
p51,p56
p52,p53
p53,p54
p53,p55
p54,p55
p54,p70
p54,p71
p54,p72
p55,p56
p55,p72
p55,p84
p55,p85
p56,p85
p57,p58
p57,p63
p57,p66
p57,p85
p58,p66
p58,p85
p58,p86
p58,p87
p59,p61
p60,p61
p60,p62
p60,p63
p61,p62
p61,p63
p61,p64
p61,p65
p63,p64
p63,p66
p64,p65
p64,p66
p64,p67
p65,p67
p66,p67
p68,p69
p68,p77
p69,p70
p69,p77
p70,p71
p70,p77
p70,p80
p70,p81
p71,p72
p71,p81
p72,p73
p72,p81
p72,p84
p72,p93
p73,p84
p74,p103
p74,p75
p75,p76
p75,p79
p76,p77
p76,p78
p76,p79
p77,p78
p77,p80
p78,p79
p78,p80
p79,p80
p80,p105
p80,p81
p80,p82
p80,p83
p81,p107
p81,p108
p81,p82
p81,p83
p81,p93
p82,p83
p83,p105
p83,p107
p84,p85
p84,p92
p84,p93
p85,p86
p85,p87
p85,p92
p86,p87
p87,p88
p87,p89
p87,p90
p87,p92
p88,p89
p88,p92
p89,p90
p89,p92
p89,p94
p90,p91
p90,p94
p91,p101
p91,p94
p92,p109
p92,p118
p92,p93
p92,p94
p92,p97
p93,p108
p93,p109
p94,p101
p94,p95
p94,p96
p94,p97
p95,p96
p95,p97
p96,p97
p96,p98
p97,p118
p97,p98
p97,p99
p98,p99
p99,p100
p99,p116
p99,p118
p99,p121
p99,p123
p100,p116
p101,p102
p103,p104
p103,p105
p103,p111
p103,p112
p104,p105
p105,p106
p105,p107
p105,p112
p106,p107
p107,p108
p107,p109
p107,p112
p107,p113
p107,p114
p108,p109
p109,p110
p109,p112
p109,p114
p109,p118
p110,p112
p110,p117
p110,p118
p111,p112
p111,p115
p111,p116
p111,p122
p112,p113
p112,p114
p112,p116
p112,p117
p113,p114
p115,p116
p115,p121
p115,p122
p116,p117
p116,p118
p116,p121
p117,p118
p119,p122
p119,p127
p120,p121
p120,p122
p121,p122
p121,p123
p122,p123
p122,p125
p122,p126
p122,p127
p123,p124
p123,p125
p125,p126
p126,p127
p127,p128
p127,p129
p127,p131
p127,p132
p129,p130
p129,p131
p130,p131
p130,p134
p131,p132
p131,p133
p132,p133
