"Arunachal_Pradesh","Assam","AC",12731
"Dadra_Nagar_Haveli","Gujarat","AC",1749
"Daman_Diu","Gujarat","AC",1406
"Chandigarh","Haryana","AC",154
"Chhattisgarh","Haryana","DC",6000
"Delhi","Haryana","AC",8953
"Gujarat","Haryana","DC",2500
"Chandigarh","Himachal_Pradesh","AC",440
"Haryana","Himachal_Pradesh","AC",3477
"Himachal_Pradesh","Jammu_Kashmir","AC",517
"Bihar","Jharkhand","AC",9394
"Chhattisgarh","Jharkhand","AC",5508
"Andhra_Pradesh","Karnataka","AC",11177
"Goa","Karnataka","AC",200
"Karnataka","Kerala","AC",1165
"Chhattisgarh","Madhya_Pradesh","AC",18707
"Gujarat","Madhya_Pradesh","AC",7450
"Chhattisgarh","Maharashtra","AC",19070
"Dadra_Nagar_Haveli","Maharashtra","AC",1034
"Daman_Diu","Maharashtra","AC",1120
"Goa","Maharashtra","AC",1382
"Gujarat","Maharashtra","AC",4355
"Karnataka","Maharashtra","AC",6012
"Madhya_Pradesh","Maharashtra","AC",17154
"Assam","Manipur","AC",1250
"Assam","Meghalaya","AC",2912
"Assam","Mizoram","AC",700
"Manipur","Mizoram","AC",50
"Assam","Nagaland","AC",1708
"Manipur","Nagaland","AC",1200
"Andhra_Pradesh","Odisha","DC",1000
"Andhra_Pradesh","Odisha","AC",4600
"Chhattisgarh","Odisha","AC",12173
"Jharkhand","Odisha","AC",3812
"Karnataka","Odisha","DC",2000
"Chandigarh","Punjab","AC",100
"Haryana","Punjab","AC",11014
"Himachal_Pradesh","Punjab","AC",8405
"Jammu_Kashmir","Punjab","AC",15646
"Delhi","Rajasthan","AC",208
"Gujarat","Rajasthan","AC",6034
"Haryana","Rajasthan","AC",11334
"Madhya_Pradesh","Rajasthan","AC",5750
"Punjab","Rajasthan","AC",5000
"Bihar","Sikkim","AC",1294
"Andhra_Pradesh","Tamil_Nadu","AC",9075
"Chhattisgarh","Tamil_Nadu","DC",6000
"Karnataka","Tamil_Nadu","AC",4563
"Kerala","Tamil_Nadu","AC",4394
"Kerala","Tamil_Nadu","DC",2000
"Puducherry","Tamil_Nadu","AC",1434
"Andhra_Pradesh","Telangana","AC",20933
"Karnataka","Telangana","AC",917
"Maharashtra","Telangana","DC",1000
"Maharashtra","Telangana","AC",8800
"Assam","Tripura","AC",2300
"Mizoram","Tripura","AC",100
"Assam","Uttar_Pradesh","DC",3000
"Bihar","Uttar_Pradesh","DC",500
"Bihar","Uttar_Pradesh","AC",17522
"Delhi","Uttar_Pradesh","AC",9160
"Haryana","Uttar_Pradesh","AC",10205
"Madhya_Pradesh","Uttar_Pradesh","DC",500
"Madhya_Pradesh","Uttar_Pradesh","AC",11750
"Punjab","Uttar_Pradesh","AC",6594
"Rajasthan","Uttar_Pradesh","AC",3827
"Rajasthan","Uttar_Pradesh","DC",2500
"Haryana","Uttarakhand","AC",1362
"Himachal_Pradesh","Uttarakhand","AC",486
"Uttar_Pradesh","Uttarakhand","AC",12699
"Assam","West_Bengal","AC",2656
"Assam","West_Bengal","DC",1000
"Bihar","West_Bengal","AC",7824
"Jharkhand","West_Bengal","AC",15913
"Odisha","West_Bengal","AC",1100
"Sikkim","West_Bengal","AC",1250
"Uttar_Pradesh","West_Bengal","DC",3000
