dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CofireNew_coal-CCS_mod,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
CofireOld_coal-CCS_mod,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
Gas-CC_Gas-CC-CCS_max,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.130892449,1.119908467,1.108924485,1.097940503,1.086956522,1.07597254,1.064988558,1.054004577,1.043020595,1.032036613,1.021052632,1.01006865,0.999084668,0.988100686,0.977116705,0.966132723,0.955148741,0.94416476,0.933180778,0.922196796,0.911212815,0.900228833,0.889244851,0.87826087,0.867276888,0.856292906,0.845308924,0.834324943
Coal-IGCC_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
coal-new_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
CoalOldScr_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
CoalOldUns_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
CofireNew_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
CofireOld_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.124116882,1.113547731,1.102978579,1.092352908,1.081783756,1.071214605,1.060588933,1.050019782,1.03945063,1.028824959,1.018255807,1.007686656,0.997117504,0.986491833,0.975922681,0.96535353,0.954727858,0.944158707,0.933589555,0.923020404,0.912394732,0.901825581,0.891256429,0.880630758,0.870061606,0.859492455,0.848923303,0.838297632
hydEND_hydED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hydED_pumped-hydro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hydED_pumped-hydro-flex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
