dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gas-CC_Gas-CC-CCS_max,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.105537757,1.069199085,1.032951945,0.996613272,0.9602746,0.923935927,0.887688787,0.851350114,0.815011442,0.778764302,0.742425629,0.706086957,0.669839817,0.661693364,0.653546911,0.645400458,0.637345538,0.629199085,0.621052632,0.612906178,0.604851259,0.596704805,0.588558352,0.580411899,0.572356979,0.564210526,0.556064073,0.54791762
Coal-IGCC_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.100378681,1.066071328,1.031763974,0.997400102,0.963092749,0.928785395,0.894478042,0.860114169,0.825806816,0.791499463,0.75719211,0.722884757,0.688520884,0.68060815,0.672695416,0.664782682,0.656869949,0.648957215,0.641044481,0.633131747,0.625219013,0.617306279,0.609393545,0.601480812,0.593568078,0.585655344,0.57774261,0.569829876
coal-new_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.100378681,1.066071328,1.031763974,0.997400102,0.963092749,0.928785395,0.894478042,0.860114169,0.825806816,0.791499463,0.75719211,0.722884757,0.688520884,0.68060815,0.672695416,0.664782682,0.656869949,0.648957215,0.641044481,0.633131747,0.625219013,0.617306279,0.609393545,0.601480812,0.593568078,0.585655344,0.57774261,0.569829876
CoalOldScr_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.100378681,1.066071328,1.031763974,0.997400102,0.963092749,0.928785395,0.894478042,0.860114169,0.825806816,0.791499463,0.75719211,0.722884757,0.688520884,0.68060815,0.672695416,0.664782682,0.656869949,0.648957215,0.641044481,0.633131747,0.625219013,0.617306279,0.609393545,0.601480812,0.593568078,0.585655344,0.57774261,0.569829876
CoalOldUns_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.100378681,1.066071328,1.031763974,0.997400102,0.963092749,0.928785395,0.894478042,0.860114169,0.825806816,0.791499463,0.75719211,0.722884757,0.688520884,0.68060815,0.672695416,0.664782682,0.656869949,0.648957215,0.641044481,0.633131747,0.625219013,0.617306279,0.609393545,0.601480812,0.593568078,0.585655344,0.57774261,0.569829876
CofireNew_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.100378681,1.066071328,1.031763974,0.997400102,0.963092749,0.928785395,0.894478042,0.860114169,0.825806816,0.791499463,0.75719211,0.722884757,0.688520884,0.68060815,0.672695416,0.664782682,0.656869949,0.648957215,0.641044481,0.633131747,0.625219013,0.617306279,0.609393545,0.601480812,0.593568078,0.585655344,0.57774261,0.569829876
CofireOld_coal-CCS_max,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.100378681,1.066071328,1.031763974,0.997400102,0.963092749,0.928785395,0.894478042,0.860114169,0.825806816,0.791499463,0.75719211,0.722884757,0.688520884,0.68060815,0.672695416,0.664782682,0.656869949,0.648957215,0.641044481,0.633131747,0.625219013,0.617306279,0.609393545,0.601480812,0.593568078,0.585655344,0.57774261,0.569829876
hydEND_hydED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hydED_pumped-hydro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hydED_pumped-hydro-flex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
