*i,resourceclass
csp1_1,1
csp1_2,2
csp1_3,3
csp1_4,4
csp1_5,5
csp1_6,6
csp1_7,7
csp1_8,8
csp1_9,9
csp1_10,10
csp1_11,11
csp1_12,12
csp2_1,1
csp2_2,2
csp2_3,3
csp2_4,4
csp2_5,5
csp2_6,6
csp2_7,7
csp2_8,8
csp2_9,9
csp2_10,10
csp2_11,11
csp2_12,12
csp3_1,1
csp3_2,2
csp3_3,3
csp3_4,4
csp3_5,5
csp3_6,6
csp3_7,7
csp3_8,8
csp3_9,9
csp3_10,10
csp3_11,11
csp3_12,12
csp4_1,1
csp4_2,2
csp4_3,3
csp4_4,4
csp4_5,5
csp4_6,6
csp4_7,7
csp4_8,8
csp4_9,9
csp4_10,10
csp4_11,11
csp4_12,12
egs_allkm_1,1
egs_allkm_2,2
egs_allkm_3,3
egs_allkm_4,4
egs_allkm_5,5
egs_allkm_6,6
egs_allkm_7,7
egs_allkm_8,8
egs_allkm_9,9
egs_allkm_10,10
geohydro_allkm_1,1
geohydro_allkm_2,2
geohydro_allkm_3,3
geohydro_allkm_4,4
geohydro_allkm_5,5
geohydro_allkm_6,6
geohydro_allkm_7,7
geohydro_allkm_8,8
geohydro_allkm_9,9
geohydro_allkm_10,10
egs_nearfield_1,1
egs_nearfield_2,2
egs_nearfield_3,3
egs_nearfield_4,4
egs_nearfield_5,5
egs_nearfield_6,6
egs_nearfield_7,7
egs_nearfield_8,8
egs_nearfield_9,9
egs_nearfield_10,10
