t,i,r,value
2026,NUCLEAR,Maharashtra,702.0648968
2027,NUCLEAR,Maharashtra,702.0648968
2028,NUCLEAR,Maharashtra,702.0648968
2029,NUCLEAR,Maharashtra,702.0648968
2030,NUCLEAR,Maharashtra,702.0648968
2031,NUCLEAR,Maharashtra,702.0648968
2032,NUCLEAR,Maharashtra,702.0648968
2033,NUCLEAR,Maharashtra,702.0648968
2034,NUCLEAR,Maharashtra,702.0648968
2035,NUCLEAR,Maharashtra,702.0648968
2036,NUCLEAR,Maharashtra,702.0648968
2037,NUCLEAR,Maharashtra,702.0648968
2038,NUCLEAR,Maharashtra,702.0648968
2039,NUCLEAR,Maharashtra,702.0648968
2040,NUCLEAR,Maharashtra,702.0648968
2041,NUCLEAR,Maharashtra,702.0648968
2042,NUCLEAR,Maharashtra,702.0648968
2043,NUCLEAR,Maharashtra,702.0648968
2026,NUCLEAR,Rajasthan,591.740413
2027,NUCLEAR,Rajasthan,591.740413
2028,NUCLEAR,Rajasthan,591.740413
2029,NUCLEAR,Rajasthan,591.740413
2030,NUCLEAR,Rajasthan,591.740413
2031,NUCLEAR,Rajasthan,591.740413
2032,NUCLEAR,Rajasthan,591.740413
2033,NUCLEAR,Rajasthan,591.740413
2034,NUCLEAR,Rajasthan,591.740413
2035,NUCLEAR,Rajasthan,591.740413
2036,NUCLEAR,Rajasthan,591.740413
2037,NUCLEAR,Rajasthan,591.740413
2038,NUCLEAR,Rajasthan,591.740413
2039,NUCLEAR,Rajasthan,591.740413
2040,NUCLEAR,Rajasthan,591.740413
2041,NUCLEAR,Rajasthan,591.740413
2042,NUCLEAR,Rajasthan,591.740413
2043,NUCLEAR,Rajasthan,591.740413
2026,NUCLEAR,Karnataka,441.2979351
2027,NUCLEAR,Karnataka,441.2979351
2028,NUCLEAR,Karnataka,441.2979351
2029,NUCLEAR,Karnataka,441.2979351
2030,NUCLEAR,Karnataka,441.2979351
2031,NUCLEAR,Karnataka,441.2979351
2032,NUCLEAR,Karnataka,441.2979351
2033,NUCLEAR,Karnataka,441.2979351
2034,NUCLEAR,Karnataka,441.2979351
2035,NUCLEAR,Karnataka,441.2979351
2036,NUCLEAR,Karnataka,441.2979351
2037,NUCLEAR,Karnataka,441.2979351
2038,NUCLEAR,Karnataka,441.2979351
2039,NUCLEAR,Karnataka,441.2979351
2040,NUCLEAR,Karnataka,441.2979351
2041,NUCLEAR,Karnataka,441.2979351
2042,NUCLEAR,Karnataka,441.2979351
2043,NUCLEAR,Karnataka,441.2979351
2026,NUCLEAR,Gujarat,220.6489676
2027,NUCLEAR,Gujarat,220.6489676
2028,NUCLEAR,Gujarat,220.6489676
2029,NUCLEAR,Gujarat,220.6489676
2030,NUCLEAR,Gujarat,220.6489676
2031,NUCLEAR,Gujarat,220.6489676
2032,NUCLEAR,Gujarat,220.6489676
2033,NUCLEAR,Gujarat,220.6489676
2034,NUCLEAR,Gujarat,220.6489676
2035,NUCLEAR,Gujarat,220.6489676
2036,NUCLEAR,Gujarat,220.6489676
2037,NUCLEAR,Gujarat,220.6489676
2038,NUCLEAR,Gujarat,220.6489676
2039,NUCLEAR,Gujarat,220.6489676
2040,NUCLEAR,Gujarat,220.6489676
2041,NUCLEAR,Gujarat,220.6489676
2042,NUCLEAR,Gujarat,220.6489676
2043,NUCLEAR,Gujarat,220.6489676
2026,NUCLEAR,Tamil_Nadu,1223.59882
2027,NUCLEAR,Tamil_Nadu,1223.59882
2028,NUCLEAR,Tamil_Nadu,1223.59882
2029,NUCLEAR,Tamil_Nadu,1223.59882
2030,NUCLEAR,Tamil_Nadu,1223.59882
2031,NUCLEAR,Tamil_Nadu,1223.59882
2032,NUCLEAR,Tamil_Nadu,1223.59882
2033,NUCLEAR,Tamil_Nadu,1223.59882
2034,NUCLEAR,Tamil_Nadu,1223.59882
2035,NUCLEAR,Tamil_Nadu,1223.59882
2036,NUCLEAR,Tamil_Nadu,1223.59882
2037,NUCLEAR,Tamil_Nadu,1223.59882
2038,NUCLEAR,Tamil_Nadu,1223.59882
2039,NUCLEAR,Tamil_Nadu,1223.59882
2040,NUCLEAR,Tamil_Nadu,1223.59882
2041,NUCLEAR,Tamil_Nadu,1223.59882
2042,NUCLEAR,Tamil_Nadu,1223.59882
2043,NUCLEAR,Tamil_Nadu,1223.59882
2026,NUCLEAR,Uttar_Pradesh,220.6489676
2027,NUCLEAR,Uttar_Pradesh,220.6489676
2028,NUCLEAR,Uttar_Pradesh,220.6489676
2029,NUCLEAR,Uttar_Pradesh,220.6489676
2030,NUCLEAR,Uttar_Pradesh,220.6489676
2031,NUCLEAR,Uttar_Pradesh,220.6489676
2032,NUCLEAR,Uttar_Pradesh,220.6489676
2033,NUCLEAR,Uttar_Pradesh,220.6489676
2034,NUCLEAR,Uttar_Pradesh,220.6489676
2035,NUCLEAR,Uttar_Pradesh,220.6489676
2036,NUCLEAR,Uttar_Pradesh,220.6489676
2037,NUCLEAR,Uttar_Pradesh,220.6489676
2038,NUCLEAR,Uttar_Pradesh,220.6489676
2039,NUCLEAR,Uttar_Pradesh,220.6489676
2040,NUCLEAR,Uttar_Pradesh,220.6489676
2041,NUCLEAR,Uttar_Pradesh,220.6489676
2042,NUCLEAR,Uttar_Pradesh,220.6489676
2043,NUCLEAR,Uttar_Pradesh,220.6489676
2023,SUPERCRITICAL-COAL,Andhra_Pradesh,470
2023,SUPERCRITICAL-COAL,Bihar,2780
2023,SUPERCRITICAL-COAL,Jharkhand,2570
2023,SUPERCRITICAL-COAL,Odisha,320
2023,SUPERCRITICAL-COAL,Telangana,2270
2023,SUPERCRITICAL-COAL,Uttar_Pradesh,2830
2023,SUPERCRITICAL-COAL,West_Bengal,370
2024,SUPERCRITICAL-COAL,Jharkhand,320
2024,SUPERCRITICAL-COAL,Telangana,470
2024,SUPERCRITICAL-COAL,Uttar_Pradesh,2150
2025,SUPERCRITICAL-COAL,Chhattisgarh,2170
2023,SUPERCRITICAL-COAL,Tamil_Nadu,640
2025,SUPERCRITICAL-COAL,Tamil_Nadu,320
2025,SUPERCRITICAL-COAL,Telangana,1800
2025,SUPERCRITICAL-COAL,Uttar_Pradesh,680
2025,SUPERCRITICAL-COAL,West_Bengal,496
2026,SUPERCRITICAL-COAL,Andhra_Pradesh,230
2026,SUPERCRITICAL-COAL,Gujarat,2470
2026,SUPERCRITICAL-COAL,Karnataka,1600
2026,SUPERCRITICAL-COAL,Odisha,200
2026,SUPERCRITICAL-COAL,Tamil_Nadu,2540
2026,SUPERCRITICAL-COAL,Uttar_Pradesh,4580
2027,SUPERCRITICAL-COAL,Chhattisgarh,1152
2027,SUPERCRITICAL-COAL,Maharashtra,1320
2027,SUPERCRITICAL-COAL,Odisha,830
2028,SUPERCRITICAL-COAL,Chhattisgarh,1250
2028,SUPERCRITICAL-COAL,Jharkhand,844
2028,SUPERCRITICAL-COAL,Madhya_Pradesh,1420
2029,SUPERCRITICAL-COAL,Bihar,690
2029,SUPERCRITICAL-COAL,Gujarat,970
2029,SUPERCRITICAL-COAL,Jharkhand,690
2029,SUPERCRITICAL-COAL,Odisha,690
2030,SUPERCRITICAL-COAL,Chhattisgarh,1250
2030,SUPERCRITICAL-COAL,Odisha,2390
2031,SUPERCRITICAL-COAL,Chhattisgarh,1932
2031,SUPERCRITICAL-COAL,Madhya_Pradesh,3500
2031,SUPERCRITICAL-COAL,Uttar_Pradesh,1932
2031,SUPERCRITICAL-COAL,West_Bengal,3500
2032,SUPERCRITICAL-COAL,Chhattisgarh,2716
2032,SUPERCRITICAL-COAL,Odisha,5068
2032,SUPERCRITICAL-COAL,Tamil_Nadu,392
2032,SUPERCRITICAL-COAL,Telangana,392
2033,SUPERCRITICAL-COAL,Bihar,1932
2033,SUPERCRITICAL-COAL,Madhya_Pradesh,2856
2033,SUPERCRITICAL-COAL,Tamil_Nadu,1932
2033,SUPERCRITICAL-COAL,Telangana,1932
2033,SUPERCRITICAL-COAL,Uttar_Pradesh,1008
2034,SUPERCRITICAL-COAL,Bihar,1518
2034,SUPERCRITICAL-COAL,Chhattisgarh,1932
2034,SUPERCRITICAL-COAL,Madhya_Pradesh,3522
2034,SUPERCRITICAL-COAL,Odisha,3550
2035,SUPERCRITICAL-COAL,Chhattisgarh,2352
2035,SUPERCRITICAL-COAL,Jharkhand,1176
2035,SUPERCRITICAL-COAL,Madhya_Pradesh,1176
2035,SUPERCRITICAL-COAL,Odisha,3892
