i,r,rs,value
HYDRO-PONDAGE,Andhra_Pradesh,sk,90
HYDRO-STORAGE,Andhra_Pradesh,sk,1470
HYDRO-PONDAGE,Arunachal_Pradesh,sk,405
HYDRO-PONDAGE,Assam,sk,25
HYDRO-ROR,Assam,sk,100
HYDRO-STORAGE,Assam,sk,270
HYDRO-STORAGE,Chhattisgarh,sk,120
HYDRO-PONDAGE,Gujarat,sk,250
HYDRO-ROR,Gujarat,sk,240
HYDRO-STORAGE,Gujarat,sk,1500
HYDRO-PONDAGE,Himachal_Pradesh,sk,2950
HYDRO-ROR,Himachal_Pradesh,sk,1339.02
HYDRO-STORAGE,Himachal_Pradesh,sk,1066
HYDRO-PONDAGE,Jammu_Kashmir,sk,1710.5
HYDRO-ROR,Jammu_Kashmir,sk,1410
HYDRO-PONDAGE,Jharkhand,sk,143.2
HYDRO-STORAGE,Jharkhand,sk,130
HYDRO-PONDAGE,Karnataka,sk,507.4
HYDRO-STORAGE,Karnataka,sk,3100
HYDRO-PONDAGE,Kerala,sk,50.8
HYDRO-ROR,Kerala,sk,163.5
HYDRO-STORAGE,Kerala,sk,1717.47
HYDRO-PONDAGE,Madhya_Pradesh,sk,365
HYDRO-ROR,Madhya_Pradesh,sk,553
HYDRO-STORAGE,Madhya_Pradesh,sk,1549.5
HYDRO-PONDAGE,Maharashtra,sk,205
HYDRO-PUMPED,Maharashtra,sk,250
HYDRO-ROR,Maharashtra,sk,80
HYDRO-STORAGE,Maharashtra,sk,2624
HYDRO-STORAGE,Manipur,sk,105
HYDRO-ROR,Meghalaya,sk,126
HYDRO-STORAGE,Meghalaya,sk,156
HYDRO-STORAGE,Nagaland,sk,75
HYDRO-PONDAGE,Odisha,sk,114.75
HYDRO-STORAGE,Odisha,sk,2027.5
HYDRO-ROR,Punjab,sk,494
HYDRO-STORAGE,Punjab,sk,1925
HYDRO-STORAGE,Rajasthan,sk,460
HYDRO-PONDAGE,Sikkim,sk,570
HYDRO-ROR,Sikkim,sk,195
HYDRO-PONDAGE,Tamil_Nadu,sk,640
HYDRO-PUMPED,Tamil_Nadu,sk,400
HYDRO-ROR,Tamil_Nadu,sk,660
HYDRO-STORAGE,Tamil_Nadu,sk,520
HYDRO-PONDAGE,Telangana,sk,126
HYDRO-PUMPED,Telangana,sk,1605.6
HYDRO-STORAGE,Telangana,sk,582
HYDRO-PONDAGE,UP_Varanasi,sk,82.6
HYDRO-PONDAGE,UP_Agra,sk,20
HYDRO-ROR,UP_Meerut,sk,99
HYDRO-STORAGE,UP_Agra,sk,45
HYDRO-STORAGE,UP_Varanasi,sk,255
HYDRO-PONDAGE,Uttarakhand,sk,240
HYDRO-ROR,Uttarakhand,sk,3316.35
HYDRO-STORAGE,Uttarakhand,sk,1000
HYDRO-PONDAGE,West_Bengal,sk,132
HYDRO-PUMPED,West_Bengal,sk,900
HYDRO-ROR,West_Bengal,sk,196
HYDRO-STORAGE,West_Bengal,sk,50
