*d,szn
d1,wint
d2,wint
d3,wint
d4,wint
d5,wint
d6,wint
d7,wint
d8,wint
d9,wint
d10,wint
d11,wint
d12,wint
d13,wint
d14,wint
d15,wint
d16,wint
d17,wint
d18,wint
d19,wint
d20,wint
d21,wint
d22,wint
d23,wint
d24,wint
d25,wint
d26,wint
d27,wint
d28,wint
d29,wint
d30,wint
d31,wint
d32,wint
d33,wint
d34,wint
d35,wint
d36,wint
d37,wint
d38,wint
d39,wint
d40,wint
d41,wint
d42,wint
d43,wint
d44,wint
d45,wint
d46,wint
d47,wint
d48,wint
d49,wint
d50,wint
d51,wint
d52,wint
d53,wint
d54,wint
d55,wint
d56,wint
d57,wint
d58,wint
d59,wint
d60,spri
d61,spri
d62,spri
d63,spri
d64,spri
d65,spri
d66,spri
d67,spri
d68,spri
d69,spri
d70,spri
d71,spri
d72,spri
d73,spri
d74,spri
d75,spri
d76,spri
d77,spri
d78,spri
d79,spri
d80,spri
d81,spri
d82,spri
d83,spri
d84,spri
d85,spri
d86,spri
d87,spri
d88,spri
d89,spri
d90,spri
d91,spri
d92,spri
d93,spri
d94,spri
d95,spri
d96,spri
d97,spri
d98,spri
d99,spri
d100,spri
d101,spri
d102,spri
d103,spri
d104,spri
d105,spri
d106,spri
d107,spri
d108,spri
d109,spri
d110,spri
d111,spri
d112,spri
d113,spri
d114,spri
d115,spri
d116,spri
d117,spri
d118,spri
d119,spri
d120,spri
d121,spri
d122,spri
d123,spri
d124,spri
d125,spri
d126,spri
d127,spri
d128,spri
d129,spri
d130,spri
d131,spri
d132,spri
d133,spri
d134,spri
d135,spri
d136,spri
d137,spri
d138,spri
d139,spri
d140,spri
d141,spri
d142,spri
d143,spri
d144,spri
d145,spri
d146,spri
d147,spri
d148,spri
d149,spri
d150,spri
d151,spri
d152,summ
d153,summ
d154,summ
d155,summ
d156,summ
d157,summ
d158,summ
d159,summ
d160,summ
d161,summ
d162,summ
d163,summ
d164,summ
d165,summ
d166,summ
d167,summ
d168,summ
d169,summ
d170,summ
d171,summ
d172,summ
d173,summ
d174,summ
d175,summ
d176,summ
d177,summ
d178,summ
d179,summ
d180,summ
d181,summ
d182,summ
d183,summ
d184,summ
d185,summ
d186,summ
d187,summ
d188,summ
d189,summ
d190,summ
d191,summ
d192,summ
d193,summ
d194,summ
d195,summ
d196,summ
d197,summ
d198,summ
d199,summ
d200,summ
d201,summ
d202,summ
d203,summ
d204,summ
d205,summ
d206,summ
d207,summ
d208,summ
d209,summ
d210,summ
d211,summ
d212,summ
d213,summ
d214,summ
d215,summ
d216,summ
d217,summ
d218,summ
d219,summ
d220,summ
d221,summ
d222,summ
d223,summ
d224,summ
d225,summ
d226,summ
d227,summ
d228,summ
d229,summ
d230,summ
d231,summ
d232,summ
d233,summ
d234,summ
d235,summ
d236,summ
d237,summ
d238,summ
d239,summ
d240,summ
d241,summ
d242,summ
d243,summ
d244,fall
d245,fall
d246,fall
d247,fall
d248,fall
d249,fall
d250,fall
d251,fall
d252,fall
d253,fall
d254,fall
d255,fall
d256,fall
d257,fall
d258,fall
d259,fall
d260,fall
d261,fall
d262,fall
d263,fall
d264,fall
d265,fall
d266,fall
d267,fall
d268,fall
d269,fall
d270,fall
d271,fall
d272,fall
d273,fall
d274,fall
d275,fall
d276,fall
d277,fall
d278,fall
d279,fall
d280,fall
d281,fall
d282,fall
d283,fall
d284,fall
d285,fall
d286,fall
d287,fall
d288,fall
d289,fall
d290,fall
d291,fall
d292,fall
d293,fall
d294,fall
d295,fall
d296,fall
d297,fall
d298,fall
d299,fall
d300,fall
d301,fall
d302,fall
d303,fall
d304,fall
d305,wint
d306,wint
d307,wint
d308,wint
d309,wint
d310,wint
d311,wint
d312,wint
d313,wint
d314,wint
d315,wint
d316,wint
d317,wint
d318,wint
d319,wint
d320,wint
d321,wint
d322,wint
d323,wint
d324,wint
d325,wint
d326,wint
d327,wint
d328,wint
d329,wint
d330,wint
d331,wint
d332,wint
d333,wint
d334,wint
d335,wint
d336,wint
d337,wint
d338,wint
d339,wint
d340,wint
d341,wint
d342,wint
d343,wint
d344,wint
d345,wint
d346,wint
d347,wint
d348,wint
d349,wint
d350,wint
d351,wint
