,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.344,0.425,0.051,0.0,0.243,0.255,0.006,0.0,0.114,0.12,0.0,0.002,0.277,0.308,0.025,0.393
p10,0.003,0.441,0.488,0.032,0.0,0.396,0.369,0.004,0.0,0.293,0.275,0.001,0.002,0.42,0.448,0.019,0.471
p100,0.002,0.346,0.36,0.039,0.0,0.288,0.277,0.008,0.0,0.223,0.243,0.003,0.001,0.329,0.35,0.029,0.346
p101,0.0,0.348,0.353,0.029,0.0,0.323,0.32,0.011,0.0,0.284,0.328,0.008,0.0,0.381,0.427,0.031,0.264
p102,0.0,0.348,0.36,0.027,0.0,0.324,0.314,0.008,0.0,0.288,0.327,0.006,0.0,0.383,0.422,0.024,0.28
p103,0.001,0.339,0.403,0.058,0.0,0.252,0.285,0.015,0.0,0.147,0.202,0.005,0.0,0.312,0.372,0.041,0.396
p104,0.001,0.333,0.424,0.063,0.0,0.244,0.302,0.017,0.0,0.135,0.201,0.006,0.0,0.296,0.383,0.044,0.431
p105,0.002,0.346,0.415,0.05,0.0,0.278,0.308,0.013,0.0,0.165,0.217,0.005,0.001,0.315,0.376,0.034,0.389
p106,0.0,0.316,0.439,0.062,0.0,0.269,0.357,0.021,0.0,0.163,0.262,0.008,0.0,0.288,0.399,0.045,0.371
p107,0.002,0.339,0.421,0.05,0.0,0.298,0.339,0.014,0.0,0.184,0.25,0.005,0.001,0.309,0.379,0.035,0.38
p108,0.004,0.398,0.358,0.021,0.0,0.364,0.276,0.002,0.0,0.233,0.207,0.0,0.002,0.37,0.328,0.011,0.355
p109,0.001,0.343,0.394,0.047,0.0,0.297,0.317,0.014,0.0,0.195,0.247,0.005,0.0,0.317,0.363,0.034,0.367
p11,0.002,0.451,0.438,0.019,0.0,0.417,0.341,0.001,0.0,0.328,0.27,0.0,0.001,0.441,0.416,0.01,0.453
p110,0.001,0.314,0.405,0.05,0.0,0.276,0.345,0.015,0.0,0.189,0.27,0.005,0.0,0.294,0.368,0.035,0.401
p111,0.001,0.326,0.41,0.053,0.0,0.258,0.302,0.012,0.0,0.154,0.205,0.003,0.0,0.301,0.374,0.036,0.385
p112,0.001,0.341,0.381,0.047,0.0,0.283,0.29,0.013,0.0,0.169,0.202,0.004,0.0,0.312,0.337,0.033,0.363
p113,0.001,0.336,0.408,0.052,0.0,0.28,0.319,0.015,0.0,0.172,0.229,0.005,0.0,0.308,0.362,0.037,0.386
p114,0.001,0.323,0.408,0.055,0.0,0.282,0.331,0.017,0.0,0.182,0.254,0.006,0.0,0.298,0.358,0.039,0.366
p115,0.001,0.333,0.368,0.043,0.0,0.276,0.281,0.01,0.0,0.18,0.212,0.002,0.001,0.311,0.335,0.029,0.342
p116,0.001,0.336,0.377,0.042,0.0,0.29,0.294,0.01,0.0,0.198,0.235,0.003,0.001,0.316,0.344,0.029,0.348
p117,0.001,0.326,0.386,0.045,0.0,0.285,0.311,0.012,0.0,0.194,0.251,0.004,0.0,0.307,0.353,0.031,0.384
p118,0.001,0.338,0.385,0.041,0.0,0.296,0.325,0.011,0.0,0.234,0.289,0.004,0.0,0.33,0.374,0.03,0.366
