,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.344,0.407,0.051,0.0,0.241,0.242,0.006,0.0,0.111,0.113,0.0,0.002,0.279,0.299,0.025,0.383
p10,0.003,0.446,0.488,0.03,0.0,0.4,0.368,0.004,0.0,0.295,0.271,0.001,0.001,0.423,0.448,0.017,0.471
p100,0.002,0.347,0.363,0.039,0.0,0.288,0.277,0.008,0.0,0.223,0.241,0.002,0.001,0.329,0.353,0.029,0.344
p101,0.0,0.348,0.354,0.029,0.0,0.321,0.321,0.011,0.0,0.283,0.329,0.008,0.0,0.38,0.429,0.031,0.262
p102,0.0,0.35,0.361,0.027,0.0,0.328,0.317,0.008,0.0,0.289,0.328,0.006,0.0,0.384,0.421,0.024,0.281
p103,0.001,0.332,0.409,0.061,0.0,0.245,0.289,0.016,0.0,0.142,0.203,0.005,0.0,0.304,0.377,0.043,0.403
p104,0.001,0.337,0.409,0.062,0.0,0.242,0.286,0.017,0.0,0.13,0.191,0.006,0.0,0.299,0.367,0.044,0.406
p105,0.002,0.346,0.412,0.052,0.0,0.275,0.304,0.014,0.0,0.161,0.213,0.005,0.001,0.314,0.37,0.036,0.384
p106,0.0,0.317,0.437,0.063,0.0,0.266,0.35,0.021,0.0,0.158,0.255,0.007,0.0,0.286,0.395,0.046,0.366
p107,0.001,0.34,0.416,0.05,0.0,0.295,0.332,0.015,0.0,0.18,0.245,0.006,0.001,0.308,0.374,0.036,0.376
p108,0.005,0.395,0.344,0.024,0.0,0.358,0.266,0.003,0.0,0.228,0.201,0.001,0.002,0.365,0.317,0.014,0.334
p109,0.001,0.336,0.397,0.051,0.0,0.284,0.317,0.016,0.0,0.185,0.245,0.006,0.0,0.308,0.362,0.038,0.363
p11,0.002,0.443,0.439,0.018,0.0,0.408,0.346,0.001,0.0,0.332,0.278,0.0,0.001,0.439,0.419,0.01,0.456
p110,0.001,0.318,0.391,0.051,0.0,0.269,0.324,0.015,0.0,0.18,0.249,0.006,0.0,0.293,0.353,0.035,0.391
p111,0.001,0.331,0.4,0.051,0.0,0.262,0.295,0.012,0.0,0.157,0.199,0.003,0.0,0.306,0.361,0.034,0.374
p112,0.001,0.336,0.394,0.05,0.0,0.275,0.298,0.014,0.0,0.161,0.204,0.004,0.0,0.309,0.35,0.035,0.374
p113,0.001,0.344,0.39,0.052,0.0,0.28,0.301,0.015,0.0,0.167,0.211,0.005,0.0,0.307,0.341,0.037,0.365
p114,0.001,0.347,0.371,0.048,0.0,0.289,0.281,0.016,0.0,0.18,0.208,0.006,0.0,0.315,0.318,0.035,0.331
p115,0.001,0.327,0.381,0.045,0.0,0.268,0.289,0.01,0.0,0.171,0.215,0.002,0.001,0.303,0.346,0.03,0.341
p116,0.001,0.34,0.387,0.042,0.0,0.288,0.296,0.009,0.0,0.2,0.239,0.003,0.001,0.317,0.35,0.029,0.353
p117,0.001,0.327,0.382,0.045,0.0,0.285,0.307,0.012,0.0,0.194,0.247,0.004,0.0,0.306,0.349,0.031,0.381
p118,0.001,0.336,0.382,0.042,0.0,0.291,0.319,0.012,0.0,0.228,0.282,0.005,0.0,0.327,0.369,0.032,0.363
p119,0.002,0.34,0.365,0.039,0.0,0.276,0.27,0.008,0.0,0.191,0.213,0.002,0.001,0.325,0.338,0.027,0.312
p12,0.006,0.503,0.454,0.031,0.0,0.461,0.358,0.004,0.0,0.302,0.25,0.001,0.003,0.48,0.421,0.018,0.371
p120,0.003,0.354,0.357,0.037,0.0,0.279,0.262,0.008,0.0,0.202,0.206,0.002,0.001,0.332,0.34,0.026,0.297
p121,0.002,0.361,0.357,0.037,0.0,0.3,0.274,0.007,0.0,0.226,0.228,0.002,0.001,0.338,0.336,0.026,0.31
p122,0.003,0.365,0.344,0.033,0.0,0.301,0.255,0.005,0.0,0.224,0.208,0.001,0.002,0.347,0.328,0.022,0.319
p123,0.002,0.376,0.353,0.032,0.0,0.312,0.268,0.006,0.0,0.236,0.229,0.001,0.001,0.356,0.34,0.023,0.341
p124,0.003,0.369,0.369,0.034,0.0,0.309,0.273,0.006,0.0,0.217,0.212,0.002,0.002,0.352,0.346,0.025,0.366
p125,0.003,0.371,0.34,0.033,0.0,0.318,0.264,0.005,0.0,0.248,0.221,0.001,0.002,0.369,0.343,0.022,0.366
