*st,t,metrictonCO2
CA,2010,100000000
CA,2011,100000000
CA,2012,64759065.49
CA,2013,64139680.61
CA,2014,77396623.1
CA,2015,69495820
CA,2016,67396098.67
CA,2017,65296377.33
CA,2018,63196656
CA,2019,61096934.67
CA,2020,58997213.33
CA,2021,56897492
CA,2022,56897492
CA,2023,55000000
CA,2024,53000000
CA,2025,50000000
CA,2026,48000000
CA,2027,45000000
CA,2028,43000000
CA,2029,40000000
CA,2030,38000000
CA,2031,36000000
CA,2032,35000000
CA,2033,33000000
CA,2034,32000000
CA,2035,30000000
CA,2036,29000000
CA,2037,27000000
CA,2038,26000000
CA,2039,24000000
CA,2040,23000000
CA,2041,21000000
CA,2042,20000000
CA,2043,18000000
CA,2044,17000000
CA,2045,15000000
CA,2046,15000000
CA,2047,15000000
CA,2048,15000000
CA,2049,15000000
CA,2050,15000000
DE,2010,10000000
DE,2011,10000000
DE,2012,10000000
DE,2013,10000000
DE,2014,10000000
DE,2015,10000000
DE,2016,10000000
DE,2017,10000000
DE,2018,10000000
DE,2019,10000000
DE,2020,10000000
DE,2021,1800000
DE,2022,1700000
DE,2023,1600000
DE,2024,1500000
DE,2025,1400000
DE,2026,1300000
DE,2027,1200000
DE,2028,1100000
DE,2029,1000000
DE,2030,900000
DE,2031,855000
DE,2032,810000
DE,2033,765000
DE,2034,720000
DE,2035,675000
DE,2036,630000
DE,2037,585000
DE,2038,540000
DE,2039,495000
DE,2040,450000
DE,2041,405000
DE,2042,360000
DE,2043,315000
DE,2044,270000
DE,2045,225000
DE,2046,180000
DE,2047,135000
DE,2048,90000
DE,2049,45000
DE,2050,0
