*r,rs
p2,s1
p1,s2
p1,s3
p1,s4
p2,s5
p3,s6
p4,s7
p3,s8
p2,s9
p5,s10
p5,s11
p5,s12
p5,s13
p6,s14
p6,s15
p5,s16
p5,s17
p7,s18
p7,s19
p9,s20
p8,s21
p9,s22
p9,s23
p9,s24
p9,s25
p9,s26
p9,s27
p10,s28
p9,s29
p10,s30
p10,s31
p11,s32
p10,s33
p12,s34
p12,s35
p12,s36
p12,s37
p12,s38
p12,s39
p13,s40
p14,s41
p15,s42
p15,s43
p15,s44
p15,s45
p16,s46
p16,s47
p25,s48
p25,s49
p26,s50
p25,s51
p25,s52
p27,s53
p28,s54
p29,s55
p28,s56
p28,s57
p30,s58
p28,s59
p17,s60
p17,s61
p17,s62
p17,s63
p18,s64
p18,s65
p20,s66
p18,s67
p19,s68
p20,s69
p21,s70
p21,s71
p22,s72
p23,s73
p24,s74
p33,s75
p33,s76
p34,s77
p34,s78
p33,s79
p33,s80
p33,s81
p33,s82
p34,s83
p34,s84
p33,s85
p34,s86
p34,s87
p31,s88
p31,s89
p31,s90
p31,s91
p31,s92
p31,s93
p59,s94
p32,s95
p35,s96
p36,s97
p36,s98
p37,s99
p36,s100
p36,s101
p37,s102
p37,s103
p38,s104
p38,s105
p38,s106
p38,s107
p38,s108
p38,s109
p38,s110
p38,s111
p38,s112
p38,s113
p39,s114
p39,s115
p40,s116
p40,s117
p40,s118
p41,s119
p42,s120
p43,s121
p44,s122
p44,s123
p43,s124
p43,s125
p43,s126
p43,s127
p43,s128
p46,s129
p46,s130
p46,s131
p45,s132
p69,s133
p45,s134
p52,s135
p53,s136
p53,s137
p53,s138
p53,s139
p53,s140
p53,s141
p53,s142
p53,s143
p54,s144
p54,s145
p55,s146
p55,s147
p47,s148
p48,s149
p48,s150
p57,s151
p49,s152
p50,s153
p50,s154
p50,s155
p50,s156
p51,s157
p50,s158
p56,s159
p56,s160
p58,s161
p58,s162
p61,s163
p62,s164
p60,s165
p61,s166
p63,s167
p63,s168
p63,s169
p63,s170
p64,s171
p65,s172
p65,s173
p65,s174
p67,s175
p68,s176
p69,s177
p70,s178
p70,s179
p70,s180
p70,s181
p70,s182
p70,s183
p71,s184
p72,s185
p73,s186
p84,s187
p84,s188
p72,s189
p72,s190
p74,s191
p75,s192
p76,s193
p77,s194
p78,s195
p76,s196
p75,s197
p79,s198
p80,s199
p81,s200
p81,s201
p81,s202
p82,s203
p81,s204
p81,s205
p80,s206
p80,s207
p83,s208
p83,s209
p83,s210
p103,s211
p103,s212
p104,s213
p103,s214
p103,s215
p103,s216
p103,s217
p103,s218
p105,s219
p105,s220
p105,s221
p105,s222
p106,s223
p107,s224
p105,s225
p105,s226
p111,s227
p112,s228
p112,s229
p113,s230
p114,s231
p112,s232
p112,s233
p111,s234
p112,s235
p108,s236
p109,s237
p109,s238
p109,s239
p109,s240
p109,s241
p110,s242
p118,s243
p118,s244
p118,s245
p117,s246
p117,s247
p117,s248
p116,s249
p116,s250
p115,s251
p115,s252
p121,s253
p120,s254
p119,s255
p66,s256
p85,s257
p85,s258
p85,s259
p86,s260
p58,s261
p87,s262
p88,s263
p87,s264
p89,s265
p89,s266
p90,s267
p90,s268
p91,s269
p91,s270
p91,s271
p94,s272
p94,s273
p94,s274
p94,s275
p92,s276
p92,s277
p92,s278
p92,s279
p92,s280
p92,s281
p92,s282
p92,s283
p92,s284
p92,s285
p93,s286
p93,s287
p97,s288
p97,s289
p97,s290
p98,s291
p98,s292
p98,s293
p98,s294
p95,s295
p96,s296
p96,s297
p96,s298
p96,s299
p99,s300
p100,s301
p99,s302
p99,s303
p99,s304
p99,s305
p99,s306
p99,s307
p116,s308
p101,s309
p101,s310
p101,s311
p101,s312
p102,s313
p124,s314
p123,s315
p123,s316
p123,s317
p125,s318
p125,s319
p122,s320
p122,s321
p122,s322
p122,s323
p122,s324
p122,s325
p122,s326
p122,s327
p126,s328
p126,s329
p126,s330
p126,s331
p126,s332
p127,s333
p127,s334
p127,s335
p127,s336
p127,s337
p127,s338
p127,s339
p127,s340
p127,s341
p128,s342
p132,s343
p132,s344
p133,s345
p133,s346
p131,s347
p131,s348
p131,s349
p129,s350
p129,s351
p129,s352
p130,s353
p130,s354
p134,s355
p134,s356
p135,s357
p136,s358
p137,s359
p137,s360
p137,s361
p138,s362
p139,s363
p139,s364
p139,s365
p139,s366
p140,s367
p141,s368
p142,s369
p143,s370
p144,s371
p145,s372
p146,s373
p147,s374
p148,s375
p149,s376
p150,s377
p151,s378
p151,s379
p151,s380
p151,s381
p151,s382
p151,s383
p151,s384
p151,s385
p151,s386
p151,s387
p151,s388
p151,s389
p151,s390
p151,s391
p151,s392
p151,s393
p151,s394
p151,s395
p151,s396
p151,s397
p151,s398
p151,s399
p151,s400
p152,s401
p153,s402
p154,s403
p155,s404
p156,s405
p157,s406
p158,s407
p159,s408
p160,s409
p161,s410
p162,s411
p163,s412
p164,s413
p165,s414
p166,s415
p167,s416
p168,s417
p169,s418
p170,s419
p171,s420
p172,s421
p173,s422
p174,s423
p175,s424
p176,s425
p177,s426
p178,s427
p179,s428
p180,s429
p181,s430
p182,s431
p183,s432
p184,s433
p185,s434
p186,s435
p187,s436
p188,s437
p189,s438
p190,s439
p191,s440
p192,s441
p193,s442
p194,s443
p195,s444
p196,s445
p197,s446
p198,s447
p199,s448
p200,s449
p201,s450
p202,s451
p203,s452
p204,s453
p205,s454
