*i,r,value
geohydro_allkm_9,p1,0
geohydro_allkm_10,p1,0.035955554
geohydro_allkm_2,p10,1
geohydro_allkm_3,p10,0.092686497
geohydro_allkm_4,p10,0.25296
geohydro_allkm_6,p10,1
geohydro_allkm_7,p10,1
geohydro_allkm_8,p10,0.244342555
geohydro_allkm_9,p10,1
geohydro_allkm_10,p10,0.001608475
geohydro_allkm_10,p101,0
geohydro_allkm_8,p11,0
geohydro_allkm_9,p11,0
geohydro_allkm_10,p11,0
geohydro_allkm_10,p115,0
geohydro_allkm_9,p116,0
geohydro_allkm_10,p116,0
geohydro_allkm_10,p117,0
geohydro_allkm_10,p118,0
geohydro_allkm_3,p12,1
geohydro_allkm_5,p12,0.375084
geohydro_allkm_6,p12,0.303398058
geohydro_allkm_7,p12,1
geohydro_allkm_8,p12,0.101820204
geohydro_allkm_9,p12,1
geohydro_allkm_10,p12,0.001554565
geohydro_allkm_10,p121,0
geohydro_allkm_10,p122,0
geohydro_allkm_8,p13,0
geohydro_allkm_9,p13,0
geohydro_allkm_9,p14,0
geohydro_allkm_10,p14,0
geohydro_allkm_7,p15,0
geohydro_allkm_8,p15,0
geohydro_allkm_9,p15,0.198941052
geohydro_allkm_10,p15,0.00103653
geohydro_allkm_6,p16,0
geohydro_allkm_7,p16,0
geohydro_allkm_8,p16,0
geohydro_allkm_9,p16,0.320597754
geohydro_allkm_10,p16,0
geohydro_allkm_9,p17,0
geohydro_allkm_10,p17,0.00046865
geohydro_allkm_7,p18,0
geohydro_allkm_8,p18,0
geohydro_allkm_9,p18,0
geohydro_allkm_10,p18,0
geohydro_allkm_9,p19,0
geohydro_allkm_10,p19,0
geohydro_allkm_9,p2,0
geohydro_allkm_10,p2,0
geohydro_allkm_9,p20,0
geohydro_allkm_10,p20,0
geohydro_allkm_6,p21,0
geohydro_allkm_8,p21,0
geohydro_allkm_9,p21,0
geohydro_allkm_10,p21,0.005336051
geohydro_allkm_9,p24,0
geohydro_allkm_10,p24,0
geohydro_allkm_4,p25,0.1924206
geohydro_allkm_8,p25,0
geohydro_allkm_9,p25,1.00E+00
geohydro_allkm_10,p25,0.000503327
geohydro_allkm_10,p26,0
geohydro_allkm_8,p27,0
geohydro_allkm_9,p27,0
geohydro_allkm_10,p27,0
geohydro_allkm_8,p28,0
geohydro_allkm_9,p28,0
geohydro_allkm_10,p28,0.00245441
geohydro_allkm_9,p29,0
geohydro_allkm_10,p29,0
geohydro_allkm_9,p3,0
geohydro_allkm_10,p3,0
geohydro_allkm_8,p30,0
geohydro_allkm_9,p30,0
geohydro_allkm_10,p30,0
geohydro_allkm_3,p31,0
geohydro_allkm_5,p31,0
geohydro_allkm_7,p31,0
geohydro_allkm_8,p31,0
geohydro_allkm_9,p31,1.00E+00
geohydro_allkm_10,p31,0.000261292
geohydro_allkm_9,p32,0
geohydro_allkm_10,p32,0
geohydro_allkm_8,p33,0
geohydro_allkm_9,p33,0
geohydro_allkm_10,p33,0.000417353
geohydro_allkm_8,p34,0
geohydro_allkm_9,p34,0
geohydro_allkm_10,p34,0.000487935
geohydro_allkm_8,p35,0
geohydro_allkm_9,p35,0
geohydro_allkm_10,p35,0
geohydro_allkm_9,p36,0
geohydro_allkm_10,p36,0
geohydro_allkm_9,p37,0
geohydro_allkm_10,p37,0
geohydro_allkm_9,p38,0
geohydro_allkm_10,p38,0
geohydro_allkm_9,p39,0
geohydro_allkm_10,p39,0
geohydro_allkm_9,p4,0
geohydro_allkm_10,p4,0
geohydro_allkm_9,p40,0
geohydro_allkm_10,p40,0
geohydro_allkm_3,p5,0
geohydro_allkm_8,p5,0
geohydro_allkm_9,p5,1
geohydro_allkm_10,p5,0.000133061
geohydro_allkm_9,p50,0
geohydro_allkm_10,p50,0
geohydro_allkm_9,p56,0
geohydro_allkm_10,p56,0
geohydro_allkm_9,p57,0
geohydro_allkm_10,p57,0
geohydro_allkm_8,p58,0
geohydro_allkm_9,p58,0
geohydro_allkm_10,p58,0
geohydro_allkm_9,p59,0
geohydro_allkm_10,p59,0
geohydro_allkm_8,p6,0
geohydro_allkm_9,p6,1
geohydro_allkm_10,p6,0.017921225
geohydro_allkm_8,p61,0
geohydro_allkm_9,p61,0
geohydro_allkm_10,p61,0
geohydro_allkm_9,p63,0
geohydro_allkm_10,p63,0
geohydro_allkm_8,p64,0
geohydro_allkm_9,p64,0
geohydro_allkm_10,p64,0
geohydro_allkm_8,p65,0
geohydro_allkm_9,p65,0
geohydro_allkm_10,p65,0
geohydro_allkm_8,p66,0
geohydro_allkm_9,p66,0
geohydro_allkm_10,p66,0
geohydro_allkm_9,p67,0
geohydro_allkm_10,p67,0
geohydro_allkm_8,p7,0.087949503
geohydro_allkm_9,p7,1
geohydro_allkm_10,p7,0.001822297
geohydro_allkm_4,p8,0
geohydro_allkm_8,p8,0.41854663
geohydro_allkm_9,p8,1
geohydro_allkm_10,p8,0.106584738
geohydro_allkm_8,p85,0
geohydro_allkm_9,p85,0
geohydro_allkm_10,p85,0
geohydro_allkm_9,p86,0
geohydro_allkm_10,p86,0
geohydro_allkm_9,p87,0
geohydro_allkm_10,p87,0
geohydro_allkm_9,p88,0
geohydro_allkm_10,p88,0
geohydro_allkm_10,p89,0
geohydro_allkm_2,p9,1
geohydro_allkm_7,p9,0.11106
geohydro_allkm_8,p9,0.41596
geohydro_allkm_9,p9,1
geohydro_allkm_10,p9,0.00084405
geohydro_allkm_10,p90,0
geohydro_allkm_9,p91,0
geohydro_allkm_10,p91,0
geohydro_allkm_10,p99,0
